,uniqueID,Higher.Taxa,Taxa,Detailed.Taxa,Genus,Species,Functional.Group,Functional.simplified,PI,Seeded (yes/no),exclosure (field/exclosure/addition),notes
416InvertebrateMolluscaGastropodaGastropoda,416,Invertebrate,Mollusca,Gastropoda,Gastropoda,,Herbivorous,Herbivorous,AF,no,field,
2662InvertebrateMolluscaGastropoda,2662,Invertebrate,Mollusca,Gastropoda,,,Herbivorous,Herbivorous,IH,no,field,
2662InvertebrateMolluscaGastropodaCorbiculafluminea,2662,Invertebrate,Mollusca,Gastropoda,Corbicula,fluminea,Herbivorous,Herbivorous,IH,no,field,
1720VertebrateAvesFringillidaeS.canicollis,1720,Vertebrate,Aves,Fringillidae,S.,canicollis,Herbivorous,Herbivorous,BA,no,field,
1720VertebrateAvesFringillidaeS.nigriceps,1720,Vertebrate,Aves,Fringillidae,S.,nigriceps,Herbivorous,Herbivorous,BA,no,field,
1720VertebrateAvesFringillidaeS.striolatus,1720,Vertebrate,Aves,Fringillidae,S.,striolatus,Herbivorous,Herbivorous,BA,no,field,
1942VertebrateAvesColumbidaeColumbapalumbus,1942,Vertebrate,Aves,Columbidae,Columba,palumbus,Herbivorous,Herbivorous,BA,no,field,semi-natural
2020VertebrateAvesSpizaamerica,2020,Vertebrate,Aves,,Spiza,america,Herbivorous,Herbivorous,BA,no,field,
2020VertebrateAvesZemaidamacroura,2020,Vertebrate,Aves,,Zemaida,macroura,Herbivorous,Herbivorous,BA,no,field,
46VertebrateMammaliaRodentaDipodomysmerriami,46,Vertebrate,Mammalia,Rodenta,Dipodomys,merriami,Herbivorous,Herbivorous,AF,no,exclosure,
46VertebrateMammaliaRodentaOnychomystorridus,46,Vertebrate,Mammalia,Rodenta,Onychomys,torridus,Herbivorous,Herbivorous,AF,no,exclosure,
46VertebrateMammaliaRodentaPerognathusflavus,46,Vertebrate,Mammalia,Rodenta,Perognathus,flavus,Herbivorous,Herbivorous,AF,no,exclosure,
46VertebrateMammaliaRodentaPerognathushispidus,46,Vertebrate,Mammalia,Rodenta,Perognathus,hispidus,Herbivorous,Herbivorous,AF,no,exclosure,
46VertebrateMammaliaRodentaPeromyscusleucopus,46,Vertebrate,Mammalia,Rodenta,Peromyscus,leucopus,Herbivorous,Herbivorous,AF,no,exclosure,
46VertebrateMammaliaRodentaPeromyscusmaniculatus,46,Vertebrate,Mammalia,Rodenta,Peromyscus,maniculatus,Herbivorous,Herbivorous,AF,no,exclosure,
46VertebrateMammaliaRodentaReithrodontomysmegalotis,46,Vertebrate,Mammalia,Rodenta,Reithrodontomys,megalotis,Herbivorous,Herbivorous,AF,no,exclosure,
46VertebrateMammaliaRodentaSigmodonhispidus,46,Vertebrate,Mammalia,Rodenta,Sigmodon,hispidus,Herbivorous,Herbivorous,AF,no,exclosure,
55VertebrateMammaliaRodenta,55,Vertebrate,Mammalia,Rodenta,,,Herbivorous,Herbivorous,AF,no,exclosure,
73VertebrateMammaliaEquidaeEquusspp.,73,Vertebrate,Mammalia,Equidae,Equus,spp.,Herbivorous,Herbivorous,AF,no,exclosure,
111VertebrateMammaliaPeramelemorphiaIsoodonmacrourus,111,Vertebrate,Mammalia,Peramelemorphia,Isoodon,macrourus,Herbivorous,Herbivorous,AF,no,field,
111VertebrateMammaliaMacropodidaeMacropusgiganteus,111,Vertebrate,Mammalia,Macropodidae,Macropus,giganteus,Herbivorous,Herbivorous,AF,no,field,
111VertebrateMammaliaRodentaMusmusculus,111,Vertebrate,Mammalia,Rodenta,Mus,musculus,Herbivorous,Herbivorous,AF,no,field,
111VertebrateMammaliaMacropodidaePseudomysgracilicaudatus,111,Vertebrate,Mammalia,Macropodidae,Pseudomys,gracilicaudatus,Herbivorous,Herbivorous,AF,no,field,
121VertebrateMammaliaRodenta,121,Vertebrate,Mammalia,Rodenta,,,Herbivorous,Herbivorous,AF,no,field,
121VertebrateMammaliaLagomorpha,121,Vertebrate,Mammalia,Lagomorpha,,,Herbivorous,Herbivorous,AF,no,field,
159VertebrateMammaliaRodenta,159,Vertebrate,Mammalia,Rodenta,,,Herbivorous,Herbivorous,AF,no,exclosure,
202VertebrateMammaliaRodenta,202,Vertebrate,Mammalia,Rodenta,,,Herbivorous,Herbivorous,AF,no,exclosure,
226VertebrateMammaliaRodenta,226,Vertebrate,Mammalia,Rodenta,,,Herbivorous,Herbivorous,AF,no,exclosure,
246VertebrateMammaliaLagomorphaOdocoileushemionus,246,Vertebrate,Mammalia,Lagomorpha,Odocoileus,hemionus,Herbivorous,Herbivorous,AF,no,field,
363VertebrateMammaliaRodentaLemmiscuscurtatus,363,Vertebrate,Mammalia,Rodenta,Lemmiscus,curtatus,Herbivorous,Herbivorous,AF,no,exclosure,
363VertebrateMammaliaRodentaMicrotuslongicaudus,363,Vertebrate,Mammalia,Rodenta,Microtus,longicaudus,Herbivorous,Herbivorous,AF,no,exclosure,
363VertebrateMammaliaRodentaPeromyscusmaniculatus,363,Vertebrate,Mammalia,Rodenta,Peromyscus,maniculatus,Herbivorous,Herbivorous,AF,no,exclosure,
363VertebrateMammaliaRodentaTamiassp.,363,Vertebrate,Mammalia,Rodenta,Tamias,sp.,Herbivorous,Herbivorous,AF,no,exclosure,
373VertebrateMammaliaRodenta,373,Vertebrate,Mammalia,Rodenta,,,Herbivorous,Herbivorous,AF,no,exclosure,
391VertebrateMammaliaRodentaMicotusspp.,391,Vertebrate,Mammalia,Rodenta,Micotus,spp.,Herbivorous,Herbivorous,AF,no,field,
403VertebrateMammaliaRodenta,403,Vertebrate,Mammalia,Rodenta,,,Herbivorous,Herbivorous,AF,no,field,
422VertebrateMammaliaRodentaChaetodipusbaylei,422,Vertebrate,Mammalia,Rodenta,Chaetodipus,baylei,Herbivorous,Herbivorous,AF,no,exclosure,
422VertebrateMammaliaRodentaChaetodipuspenicillatus,422,Vertebrate,Mammalia,Rodenta,Chaetodipus,penicillatus,Herbivorous,Herbivorous,AF,no,exclosure,
422VertebrateMammaliaRodentaDipodomysmerriami,422,Vertebrate,Mammalia,Rodenta,Dipodomys,merriami,Herbivorous,Herbivorous,AF,no,exclosure,
422VertebrateMammaliaRodentaDipodomysordii,422,Vertebrate,Mammalia,Rodenta,Dipodomys,ordii,Herbivorous,Herbivorous,AF,no,exclosure,
422VertebrateMammaliaRodentaNeotomaalbigula,422,Vertebrate,Mammalia,Rodenta,Neotoma,albigula,Herbivorous,Herbivorous,AF,no,exclosure,
422VertebrateMammaliaRodentaOnychomysleucogaster,422,Vertebrate,Mammalia,Rodenta,Onychomys,leucogaster,Herbivorous,Herbivorous,AF,no,exclosure,
422VertebrateMammaliaRodentaOnychomystorridus,422,Vertebrate,Mammalia,Rodenta,Onychomys,torridus,Herbivorous,Herbivorous,AF,no,exclosure,
422VertebrateMammaliaRodentaPerognathusflavus,422,Vertebrate,Mammalia,Rodenta,Perognathus,flavus,Herbivorous,Herbivorous,AF,no,exclosure,
422VertebrateMammaliaRodentaReithrodontomysmegalotis,422,Vertebrate,Mammalia,Rodenta,Reithrodontomys,megalotis,Herbivorous,Herbivorous,AF,no,exclosure,
444VertebrateMammaliaRodenta,444,Vertebrate,Mammalia,Rodenta,,,Herbivorous,Herbivorous,TB,no,exclosure,
589VertebrateMammaliaRodentaBaiomystaylori,589,Vertebrate,Mammalia,Rodenta,Baiomys,taylori,Herbivorous,Herbivorous,TB,no,field,
589VertebrateMammaliaRodentaChaetodipushispidus,589,Vertebrate,Mammalia,Rodenta,Chaetodipus,hispidus,Herbivorous,Herbivorous,TB,no,field,
589VertebrateMammaliaRodentaNeotomaalbigula,589,Vertebrate,Mammalia,Rodenta,Neotoma,albigula,Herbivorous,Herbivorous,TB,no,field,
589VertebrateMammaliaRodentaOnychomustorridus,589,Vertebrate,Mammalia,Rodenta,Onychomus,torridus,Herbivorous,Herbivorous,TB,no,field,
589VertebrateMammaliaRodentaPermyscuseremicus,589,Vertebrate,Mammalia,Rodenta,Permyscus,eremicus,Herbivorous,Herbivorous,TB,no,field,
589VertebrateMammaliaRodentaPerognathusflavus,589,Vertebrate,Mammalia,Rodenta,Perognathus,flavus,Herbivorous,Herbivorous,TB,no,field,
589VertebrateMammaliaRodentaPeromyscusmaniculatus,589,Vertebrate,Mammalia,Rodenta,Peromyscus,maniculatus,Herbivorous,Herbivorous,TB,no,field,
589VertebrateMammaliaRodentaReithrodontomysfulvescens,589,Vertebrate,Mammalia,Rodenta,Reithrodontomys,fulvescens,Herbivorous,Herbivorous,TB,no,field,
589VertebrateMammaliaRodentaReithrodontomysmegalotis,589,Vertebrate,Mammalia,Rodenta,Reithrodontomys,megalotis,Herbivorous,Herbivorous,TB,no,field,
589VertebrateMammaliaRodentaSigmodonfulviventer,589,Vertebrate,Mammalia,Rodenta,Sigmodon,fulviventer,Herbivorous,Herbivorous,TB,no,field,
589VertebrateMammaliaRodentaSigmodonochrognathus,589,Vertebrate,Mammalia,Rodenta,Sigmodon,ochrognathus,Herbivorous,Herbivorous,TB,no,field,
603VertebrateMammaliaRodentaMicrotusarvalis,603,Vertebrate,Mammalia,Rodenta,Microtus,arvalis,Herbivorous,Herbivorous,TB,no,exclosure,
611VertebrateMammaliaRodenta,611,Vertebrate,Mammalia,Rodenta,,,Herbivorous,Herbivorous,TB,no,exclosure,
718VertebrateMammaliaLagomorphaLepus europaeus,718,Vertebrate,Mammalia,Lagomorpha,Lepus europaeus,,Herbivorous,Herbivorous,TB,no,exclosure,
769VertebrateMammaliaRodenta,769,Vertebrate,Mammalia,Rodenta,,,Herbivorous,Herbivorous,TB,no,exclosure,
848VertebrateMammaliaRodentaAmmospermophilusnelsoni,848,Vertebrate,Mammalia,Rodenta,Ammospermophilus,nelsoni,Herbivorous,Herbivorous,TB,no,field,
848VertebrateMammaliaRodentaDipdomysheermanni,848,Vertebrate,Mammalia,Rodenta,Dipdomys,heermanni,Herbivorous,Herbivorous,TB,no,field,
848VertebrateMammaliaRodentaDipodomysingens,848,Vertebrate,Mammalia,Rodenta,Dipodomys,ingens,Herbivorous,Herbivorous,TB,no,field,
848VertebrateMammaliaRodentaDipodomysnitratoides,848,Vertebrate,Mammalia,Rodenta,Dipodomys,nitratoides,Herbivorous,Herbivorous,TB,no,field,
848VertebrateMammaliaRodentaPerogthusinortus,848,Vertebrate,Mammalia,Rodenta,Perogthus,inortus,Herbivorous,Herbivorous,TB,no,field,
870VertebrateMammaliaRodentaApodemussylvaticus,870,Vertebrate,Mammalia,Rodenta,Apodemus,sylvaticus,Herbivorous,Herbivorous,MD,no,exclosure,
870VertebrateMammaliaRodentaMyodesglareolus,870,Vertebrate,Mammalia,Rodenta,Myodes,glareolus,Herbivorous,Herbivorous,MD,no,exclosure,
875VertebrateMammaliaRodenta,875,Vertebrate,Mammalia,Rodenta,,,Herbivorous,Herbivorous,MD,no,exclosure,
879VertebrateMammaliaRodentaCricetidae,879,Vertebrate,Mammalia,Rodenta,Cricetidae,,Herbivorous,Herbivorous,MD,no,exclosure,
977VertebrateMammaliaLagomorphaOryctolaguscuniculus,977,Vertebrate,Mammalia,Lagomorpha,Oryctolagus,cuniculus,Herbivorous,Herbivorous,MD,no,exclosure,
981VertebrateMammaliaRodentaMicrotuscalifornicus,981,Vertebrate,Mammalia,Rodenta,Microtus,californicus,Herbivorous,Herbivorous,MD,no,field,
981VertebrateMammaliaRodentaReithrodontomysmegalotis,981,Vertebrate,Mammalia,Rodenta,Reithrodontomys,megalotis,Herbivorous,Herbivorous,MD,no,field,
981VertebrateMammaliaRodentaSorexvagrans,981,Vertebrate,Mammalia,Rodenta,Sorex,vagrans,Herbivorous,Herbivorous,MD,no,field,
1033VertebrateMammaliaRodenta,1033,Vertebrate,Mammalia,Rodenta,,,Herbivorous,Herbivorous,MD,no,field,
1104VertebrateMammaliaRodentaSylvilagus,1104,Vertebrate,Mammalia,Rodenta,Sylvilagus,,Herbivorous,Herbivorous,MD,no,field,
1187VertebrateMammaliaRodentaOtomyssloggetti robertsi,1187,Vertebrate,Mammalia,Rodenta,Otomys,sloggetti robertsi,Herbivorous,Herbivorous,MD,no,exclosure,
1302VertebrateMammaliaRodentaDolichotispatagonum,1302,Vertebrate,Mammalia,Rodenta,Dolichotis,patagonum,Herbivorous,Herbivorous,CB,no,exclosure,
1302VertebrateMammaliaRodentaDolichotisUAtagonum,1302,Vertebrate,Mammalia,Rodenta,Dolichotis,UAtagonum,Herbivorous,Herbivorous,CB,no,exclosure,
1302VertebrateMammaliaRodentaGalealeucoblephara,1302,Vertebrate,Mammalia,Rodenta,Galea,leucoblephara,Herbivorous,Herbivorous,CB,no,exclosure,
1302VertebrateMammaliaLagomorphaLepuseuropaeus,1302,Vertebrate,Mammalia,Lagomorpha,Lepus,europaeus,Herbivorous,Herbivorous,CB,no,exclosure,
1302VertebrateMammaliaLagomorphaLepuseuroUAeus,1302,Vertebrate,Mammalia,Lagomorpha,Lepus,euroUAeus,Herbivorous,Herbivorous,CB,no,exclosure,
1302VertebrateMammaliaRodentaMicrocaviaaustralis,1302,Vertebrate,Mammalia,Rodenta,Microcavia,australis,Herbivorous,Herbivorous,CB,no,exclosure,
1302VertebrateMammaliaRodentaNANA,1302,Vertebrate,Mammalia,Rodenta,NA,NA,Herbivorous,Herbivorous,CB,no,exclosure,
1302VertebrateMammaliaRodentaAkodonmolinae,1302,Vertebrate,Mammalia,Rodenta,Akodon,molinae,Herbivorous,Herbivorous,CB,no,exclosure,
1302VertebrateMammaliaRodentaCalomysmusculinus,1302,Vertebrate,Mammalia,Rodenta,Calomys,musculinus,Herbivorous,Herbivorous,CB,no,exclosure,
1302VertebrateMammaliaRodentaEligmodontiatypus,1302,Vertebrate,Mammalia,Rodenta,Eligmodontia,typus,Herbivorous,Herbivorous,CB,no,exclosure,
1302VertebrateMammaliaRodentaGraomysgriseoflavus,1302,Vertebrate,Mammalia,Rodenta,Graomys,griseoflavus,Herbivorous,Herbivorous,CB,no,exclosure,
1354VertebrateMammaliaBovidaeAlcelaphusbuselaphus,1354,Vertebrate,Mammalia,Bovidae,Alcelaphus,buselaphus,Herbivorous,Herbivorous,CB,no,exclosure,
1354VertebrateMammaliaEquidaeEquusNA,1354,Vertebrate,Mammalia,Equidae,Equus,NA,Herbivorous,Herbivorous,CB,no,exclosure,
1354VertebrateMammaliaBovidaeGazellagranti,1354,Vertebrate,Mammalia,Bovidae,Gazella,granti,Herbivorous,Herbivorous,CB,no,exclosure,
1354VertebrateMammaliaBovidaeOryxbeisa,1354,Vertebrate,Mammalia,Bovidae,Oryx,beisa,Herbivorous,Herbivorous,CB,no,exclosure,
1354VertebrateMammaliaBovidaeRaphiceruscampestris,1354,Vertebrate,Mammalia,Bovidae,Raphicerus,campestris,Herbivorous,Herbivorous,CB,no,exclosure,
1354VertebrateMammaliaBovidaeTaurotragusoryx,1354,Vertebrate,Mammalia,Bovidae,Taurotragus,oryx,Herbivorous,Herbivorous,CB,no,exclosure,
1387VertebrateMammaliaRodentaBaiomystaylori,1387,Vertebrate,Mammalia,Rodenta,Baiomys,taylori,Herbivorous,Herbivorous,CB,no,field,
1387VertebrateMammaliaRodentaChaetodipusbaileyi,1387,Vertebrate,Mammalia,Rodenta,Chaetodipus,baileyi,Herbivorous,Herbivorous,CB,no,field,
1387VertebrateMammaliaRodentaChaetodipushispidus,1387,Vertebrate,Mammalia,Rodenta,Chaetodipus,hispidus,Herbivorous,Herbivorous,CB,no,field,
1387VertebrateMammaliaRodentaChaetodipusintermedius,1387,Vertebrate,Mammalia,Rodenta,Chaetodipus,intermedius,Herbivorous,Herbivorous,CB,no,field,
1387VertebrateMammaliaRodentaDipodomysmerriami,1387,Vertebrate,Mammalia,Rodenta,Dipodomys,merriami,Herbivorous,Herbivorous,CB,no,field,
1387VertebrateMammaliaRodentaNeotomaalbigula,1387,Vertebrate,Mammalia,Rodenta,Neotoma,albigula,Herbivorous,Herbivorous,CB,no,field,
1387VertebrateMammaliaRodentaOnychomystorridus,1387,Vertebrate,Mammalia,Rodenta,Onychomys,torridus,Herbivorous,Herbivorous,CB,no,field,
1387VertebrateMammaliaRodentaPerognathusflavus,1387,Vertebrate,Mammalia,Rodenta,Perognathus,flavus,Herbivorous,Herbivorous,CB,no,field,
1387VertebrateMammaliaRodentaPeromyscusboylii,1387,Vertebrate,Mammalia,Rodenta,Peromyscus,boylii,Herbivorous,Herbivorous,CB,no,field,
1387VertebrateMammaliaRodentaPeromyscusmaniculatus,1387,Vertebrate,Mammalia,Rodenta,Peromyscus,maniculatus,Herbivorous,Herbivorous,CB,no,field,
1387VertebrateMammaliaRodentaReithrodontomysfulvescens,1387,Vertebrate,Mammalia,Rodenta,Reithrodontomys,fulvescens,Herbivorous,Herbivorous,CB,no,field,
1387VertebrateMammaliaRodentaReithrodontomysmegalotis,1387,Vertebrate,Mammalia,Rodenta,Reithrodontomys,megalotis,Herbivorous,Herbivorous,CB,no,field,
1387VertebrateMammaliaRodentaSigmodonarizonae,1387,Vertebrate,Mammalia,Rodenta,Sigmodon,arizonae,Herbivorous,Herbivorous,CB,no,field,
1387VertebrateMammaliaRodentaBaiomystaylori,1387,Vertebrate,Mammalia,Rodenta,Baiomys,taylori,Herbivorous,Herbivorous,CB,no,field,
1387VertebrateMammaliaRodentaChaetodipusbaileyi,1387,Vertebrate,Mammalia,Rodenta,Chaetodipus,baileyi,Herbivorous,Herbivorous,CB,no,field,
1387VertebrateMammaliaRodentaChaetodipushispidus,1387,Vertebrate,Mammalia,Rodenta,Chaetodipus,hispidus,Herbivorous,Herbivorous,CB,no,field,
1387VertebrateMammaliaRodentaChaetodipusintermedius,1387,Vertebrate,Mammalia,Rodenta,Chaetodipus,intermedius,Herbivorous,Herbivorous,CB,no,field,
1387VertebrateMammaliaRodentaDipodomysmerriami,1387,Vertebrate,Mammalia,Rodenta,Dipodomys,merriami,Herbivorous,Herbivorous,CB,no,field,
1387VertebrateMammaliaRodentaNeotomaalbigula,1387,Vertebrate,Mammalia,Rodenta,Neotoma,albigula,Herbivorous,Herbivorous,CB,no,field,
1387VertebrateMammaliaRodentaOnychomystorridus,1387,Vertebrate,Mammalia,Rodenta,Onychomys,torridus,Herbivorous,Herbivorous,CB,no,field,
1387VertebrateMammaliaRodentaPerognathusflavus,1387,Vertebrate,Mammalia,Rodenta,Perognathus,flavus,Herbivorous,Herbivorous,CB,no,field,
1387VertebrateMammaliaRodentaPeromyscusboylii,1387,Vertebrate,Mammalia,Rodenta,Peromyscus,boylii,Herbivorous,Herbivorous,CB,no,field,
1387VertebrateMammaliaRodentaPeromyscusmaniculatus,1387,Vertebrate,Mammalia,Rodenta,Peromyscus,maniculatus,Herbivorous,Herbivorous,CB,no,field,
1387VertebrateMammaliaRodentaReithrodontomysfulvescens,1387,Vertebrate,Mammalia,Rodenta,Reithrodontomys,fulvescens,Herbivorous,Herbivorous,CB,no,field,
1387VertebrateMammaliaRodentaReithrodontomysmegalotis,1387,Vertebrate,Mammalia,Rodenta,Reithrodontomys,megalotis,Herbivorous,Herbivorous,CB,no,field,
1387VertebrateMammaliaRodentaSigmodonarizonae,1387,Vertebrate,Mammalia,Rodenta,Sigmodon,arizonae,Herbivorous,Herbivorous,CB,no,field,
1387VertebrateMammaliaRodentaSigmodonfulviventer,1387,Vertebrate,Mammalia,Rodenta,Sigmodon,fulviventer,Herbivorous,Herbivorous,CB,no,field,
1387VertebrateMammaliaRodentaSigmodonochrognathus,1387,Vertebrate,Mammalia,Rodenta,Sigmodon,ochrognathus,Herbivorous,Herbivorous,CB,no,field,
1529VertebrateMammaliaRodentaSpermophilusbeecheyii,1529,Vertebrate,Mammalia,Rodenta,Spermophilus,beecheyii,Herbivorous,Herbivorous,CB,no,field,
1657VertebrateMammaliaRodentaMicrotuspennsylvanicus,1657,Vertebrate,Mammalia,Rodenta,Microtus,pennsylvanicus,Herbivorous,Herbivorous,CB,no,field,
1722VertebrateMammaliaRodentaMyodesglareolus,1722,Vertebrate,Mammalia,Rodenta,Myodes,glareolus,Herbivorous,Herbivorous,BA,no,exclosure,
1722VertebrateMammaliaRodentashrew,1722,Vertebrate,Mammalia,Rodenta,shrew,,Herbivorous,Herbivorous,BA,no,exclosure,
1777VertebrateMammaliaRodentaPeromyscusmaniculatus,1777,Vertebrate,Mammalia,Rodenta,Peromyscus,maniculatus,Herbivorous,Herbivorous,BA,no,exclosure,
1808VertebrateMammaliaRodentaMusmusculus,1808,Vertebrate,Mammalia,Rodenta,Mus,musculus,Herbivorous,Herbivorous,BA,no,field,
1808VertebrateMammaliaRodentaPseudomysbolami,1808,Vertebrate,Mammalia,Rodenta,Pseudomys,bolami,Herbivorous,Herbivorous,BA,no,field,
1808VertebrateMammaliaDasyuromorphiaSminthopsiscrassicaudata,1808,Vertebrate,Mammalia,Dasyuromorphia,Sminthopsis,crassicaudata,Herbivorous,Herbivorous,BA,no,field,
2522VertebrateMammaliaRodentaGround squirrel,2522,Vertebrate,Mammalia,Rodenta,Ground squirrel,,Herbivorous,Herbivorous,JG,no,field,
2715VertebrateMammaliaRodenta,2715,Vertebrate,Mammalia,Rodenta,,,Herbivorous,Herbivorous,IH,no,field,
2715VertebrateMammaliaRodentaAmmospermophilusleucurus,2715,Vertebrate,Mammalia,Rodenta,Ammospermophilus,leucurus,Herbivorous,Herbivorous,IH,no,field,
2715VertebrateMammaliaRodentaChaetodipusintermedius,2715,Vertebrate,Mammalia,Rodenta,Chaetodipus,intermedius,Herbivorous,Herbivorous,IH,no,field,
2715VertebrateMammaliaRodentaDipodomysordii,2715,Vertebrate,Mammalia,Rodenta,Dipodomys,ordii,Herbivorous,Herbivorous,IH,no,field,
2715VertebrateMammaliaRodentaNeotomalepida,2715,Vertebrate,Mammalia,Rodenta,Neotoma,lepida,Herbivorous,Herbivorous,IH,no,field,
2715VertebrateMammaliaRodentaPerogthuslongimembris,2715,Vertebrate,Mammalia,Rodenta,Perogthus,longimembris,Herbivorous,Herbivorous,IH,no,field,
2715VertebrateMammaliaRodentaPeromyscuscrinitus,2715,Vertebrate,Mammalia,Rodenta,Peromyscus,crinitus,Herbivorous,Herbivorous,IH,no,field,
2715VertebrateMammaliaRodentaPeromyscusmaniculatus,2715,Vertebrate,Mammalia,Rodenta,Peromyscus,maniculatus,Herbivorous,Herbivorous,IH,no,field,
2790VertebrateMammaliaRodentaLasiopodomysbrandtii,2790,Vertebrate,Mammalia,Rodenta,Lasiopodomys,brandtii,Herbivorous,Herbivorous,IH,no,addition,
2810VertebrateMammalia,2810,Vertebrate,Mammalia,,,,Herbivorous,Herbivorous,IH,no,field,
2908VertebrateMammaliaLagomorphaLepuseuropaeus,2908,Vertebrate,Mammalia,Lagomorpha,Lepus,europaeus,Herbivorous,Herbivorous,IH,no,field,
2908VertebrateMammaliaLagomorphaOryctolaguscuniculus,2908,Vertebrate,Mammalia,Lagomorpha,Oryctolagus,cuniculus,Herbivorous,Herbivorous,IH,no,field,
1775VertebrateAvesAnthoscopuspunctifrons,1775,Vertebrate,Aves,,Anthoscopus,punctifrons,Insectivorous,Predator,BA,no,exclosure,
1775VertebrateAvesAnthuscampestris,1775,Vertebrate,Aves,,Anthus,campestris,Insectivorous,Predator,BA,no,exclosure,
1775VertebrateAvesBurhinuscapensis,1775,Vertebrate,Aves,,Burhinus,capensis,Insectivorous,Predator,BA,no,exclosure,
1775VertebrateAvesBurhinusoedicnemus,1775,Vertebrate,Aves,,Burhinus,oedicnemus,Insectivorous,Predator,BA,no,exclosure,
1775VertebrateAvesCamaropterabrachyura,1775,Vertebrate,Aves,,Camaroptera,brachyura,Insectivorous,Predator,BA,no,exclosure,
1775VertebrateAvesCercotrichasgalactotes,1775,Vertebrate,Aves,,Cercotrichas,galactotes,Insectivorous,Predator,BA,no,exclosure,
1775VertebrateAvesCercotrichaspodobe,1775,Vertebrate,Aves,,Cercotrichas,podobe,Insectivorous,Predator,BA,no,exclosure,
1775VertebrateAvesEremomelaicteropygialis,1775,Vertebrate,Aves,,Eremomela,icteropygialis,Insectivorous,Predator,BA,no,exclosure,
1775VertebrateAvesLamprotornispulcher,1775,Vertebrate,Aves,,Lamprotornis,pulcher,Insectivorous,Predator,BA,no,exclosure,
1775VertebrateAvesLaniusexcubator,1775,Vertebrate,Aves,,Lanius,excubator,Insectivorous,Predator,BA,no,exclosure,
1775VertebrateAvesLaniussetor,1775,Vertebrate,Aves,,Lanius,setor,Insectivorous,Predator,BA,no,exclosure,
1775VertebrateAvesLophotissavilei,1775,Vertebrate,Aves,,Lophotis,savilei,Insectivorous,Predator,BA,no,exclosure,
1775VertebrateAvesLybiusvieilloti,1775,Vertebrate,Aves,,Lybius,vieilloti,Insectivorous,Predator,BA,no,exclosure,
1775VertebrateAvesMirafrajavanica,1775,Vertebrate,Aves,,Mirafra,javanica,Insectivorous,Predator,BA,no,exclosure,
1775VertebrateAvesOenthehispanica,1775,Vertebrate,Aves,,Oenthe,hispanica,Insectivorous,Predator,BA,no,exclosure,
1775VertebrateAvesOentheoenthe,1775,Vertebrate,Aves,,Oenthe,oenthe,Insectivorous,Predator,BA,no,exclosure,
1775VertebrateAvesPhylloscopusbonelli,1775,Vertebrate,Aves,,Phylloscopus,bonelli,Insectivorous,Predator,BA,no,exclosure,
1775VertebrateAvesPriniasubflava,1775,Vertebrate,Aves,,Prinia,subflava,Insectivorous,Predator,BA,no,exclosure,
1775VertebrateAvesPycnonotusbarbatus,1775,Vertebrate,Aves,,Pycnonotus,barbatus,Insectivorous,Predator,BA,no,exclosure,
1775VertebrateAvesSpiloptilaclamans,1775,Vertebrate,Aves,,Spiloptila,clamans,Insectivorous,Predator,BA,no,exclosure,
1775VertebrateAvesSylviacantillans,1775,Vertebrate,Aves,,Sylvia,cantillans,Insectivorous,Predator,BA,no,exclosure,
1775VertebrateAvesSylviacommunis,1775,Vertebrate,Aves,,Sylvia,communis,Insectivorous,Predator,BA,no,exclosure,
1775VertebrateAvesSylviahortensis,1775,Vertebrate,Aves,,Sylvia,hortensis,Insectivorous,Predator,BA,no,exclosure,
1775VertebrateAvesSylviamelanocephala,1775,Vertebrate,Aves,,Sylvia,melanocephala,Insectivorous,Predator,BA,no,exclosure,
1775VertebrateAvesTchagrasenegalus,1775,Vertebrate,Aves,,Tchagra,senegalus,Insectivorous,Predator,BA,no,exclosure,
1775VertebrateAvesTockuserythrorhynchus,1775,Vertebrate,Aves,,Tockus,erythrorhynchus,Insectivorous,Predator,BA,no,exclosure,
1775VertebrateAvesUpupaepops,1775,Vertebrate,Aves,,Upupa,epops,Insectivorous,Predator,BA,no,exclosure,
1775VertebrateAvesVanellustectus,1775,Vertebrate,Aves,,Vanellus,tectus,Insectivorous,Predator,BA,no,exclosure,
1958VertebrateAvesMotacillidaeMotacillaflava,1958,Vertebrate,Aves,Motacillidae,Motacilla,flava,Insectivorous,Predator,BA,no,field,semi-natural
512FungiAMFMycorrhiza,512,Fungi,AMF,Mycorrhiza,,,Mycorrhiza,Producer,TB,no,exclosure,
618FungiAMFMycorrhiza,618,Fungi,AMF,Mycorrhiza,,,Mycorrhiza,Producer,TB,no,exclosure,
1788FungiAMFMycorrhiza,1788,Fungi,AMF,Mycorrhiza,,,Mycorrhiza,Producer,BA,no,exclosure,
1835FungiAMFMycorrhiza,1835,Fungi,AMF,Mycorrhiza,,,Mycorrhiza,Producer,BA,no,exclosure,
1835FungiAMFMycorrhizaAcaulospora,1835,Fungi,AMF,Mycorrhiza,Acaulospora,,Mycorrhiza,Producer,BA,no,exclosure,
1835FungiAMFMycorrhizaGigaspora,1835,Fungi,AMF,Mycorrhiza,Gigaspora,,Mycorrhiza,Producer,BA,no,exclosure,
1835FungiAMFMycorrhizaGlomus,1835,Fungi,AMF,Mycorrhiza,Glomus,,Mycorrhiza,Producer,BA,no,exclosure,
